user,place,total,last_point_datetime,day1_done,day2_done,day3_done,day4_done,day5_done,helping_day1,helping_day2,helping_day3,helping_day4,helping_day5,done_extra,friends_points
UME0D2T8S,222,100.0,1567446685.0,100.0,,,,,0,0,0,0,0,0,0
UG22Y0ADP,223,100.0,1567446684.0,100.0,,,,,0,0,0,0,0,0,0
UHH2R0GLW,224,100.0,1567446600.0,100.0,,,,,0,0,0,0,0,0,0
UG1DWJSHW,225,100.0,1567446585.0,100.0,,,,,0,0,0,0,0,0,0
UH31M9K0V,226,100.0,1567446584.0,100.0,,,,,0,0,0,0,0,0,0
UMSN7V8JZ,227,100.0,1567446512.0,100.0,,,,,0,0,0,0,0,0,0
UH1NQG49Z,228,100.0,1567446481.0,100.0,,,,,0,0,0,0,0,0,0
UHRUJR0A3,229,100.0,1567446437.0,100.0,,,,,0,0,0,0,0,0,0
UMXUU826L,230,100.0,1567446432.0,100.0,,,,,0,0,0,0,0,0,0
UMXUTUNQG,231,100.0,1567446419.0,100.0,,,,,0,0,0,0,0,0,0
UH22Z21FF,232,100.0,1567446262.0,100.0,,,,,0,0,0,0,0,0,0
UMR6AEUFJ,233,100.0,1567446140.0,100.0,,,,,0,0,0,0,0,0,0
UD0A08H19,234,100.0,1567446077.0,100.0,,,,,0,0,0,0,0,0,0
UDPPVA6PM,235,100.0,1567446034.0,100.0,,,,,0,0,0,0,0,0,0
UJHCZ4SJY,236,100.0,1567445633.0,100.0,,,,,0,0,0,0,0,0,0
UME0D8KGS,237,100.0,1567445571.0,100.0,,,,,0,0,0,0,0,0,0
UH1APAAP7,238,100.0,1567445517.0,100.0,,,,,0,0,0,0,0,0,0
UMA1F3MSP,239,100.0,1567445326.0,100.0,,,,,0,0,0,0,0,0,0
UH40MQ8RL,240,100.0,1567445168.0,100.0,,,,,0,0,0,0,0,0,0
UH2JAP6NB,241,100.0,1567445085.0,100.0,,,,,0,0,0,0,0,0,0
UH2D5736X,242,100.0,1567445001.0,100.0,,,,,0,0,0,0,0,0,0
UDD2WS020,243,100.0,1567444983.0,100.0,,,,,0,0,0,0,0,0,0
UCGTQ55EC,244,100.0,1567444940.0,100.0,,,,,0,0,0,0,0,0,0
UMVQ9EQ72,245,100.0,1567444725.0,100.0,,,,,0,0,0,0,0,0,0
UH04BCRMH,246,100.0,1567444724.0,100.0,,,,,0,0,0,0,0,0,0
UG1N4SYDP,247,100.0,1567444684.0,100.0,,,,,0,0,0,0,0,0,0
UG56Q10AK,248,100.0,1567444547.0,100.0,,,,,0,0,0,0,0,0,0
UH1VBHL6Q,249,100.0,1567444377.0,100.0,,,,,0,0,0,0,0,0,0
UH2EQ7WN8,250,100.0,1567444284.0,100.0,,,,,0,0,0,0,0,0,0
UG46GNCSD,251,100.0,1567444242.0,100.0,,,,,0,0,0,0,0,0,0
UG4RGU3UN,252,100.0,1567444138.0,100.0,,,,,0,0,0,0,0,0,0
UMJAYEXPC,253,100.0,1567444028.0,100.0,,,,,0,0,0,0,0,0,0
UMNH0439V,254,100.0,1567444001.0,100.0,,,,,0,0,0,0,0,0,0
UMSN7P71B,255,100.0,1567443993.0,100.0,,,,,0,0,0,0,0,0,0
UKPJVTR19,256,100.0,1567443908.0,100.0,,,,,0,0,0,0,0,0,0
UDEFWNUNA,257,100.0,1567443765.0,100.0,,,,,0,0,0,0,0,0,0
UMV55TRAB,258,100.0,1567443567.0,100.0,,,,,0,0,0,0,0,0,0
UG3PDPP1D,259,100.0,1567443499.0,100.0,,,,,0,0,0,0,0,0,0
UH4BWPKFH,260,100.0,1567443365.0,100.0,,,,,0,0,0,0,0,0,0
UHJ2WEXKR,261,100.0,1567443331.0,100.0,,,,,0,0,0,0,0,0,0
UMA156W8Y,262,100.0,1567443263.0,100.0,,,,,0,0,0,0,0,0,0
UH0751QFM,263,100.0,1567443082.0,100.0,,,,,0,0,0,0,0,0,0
UH1M0NYUE,264,100.0,1567443081.0,100.0,,,,,0,0,0,0,0,0,0
UJ094QCBZ,265,100.0,1567442973.0,100.0,,,,,0,0,0,0,0,0,0
UJF3NAS2D,266,100.0,1567442951.0,100.0,,,,,0,0,0,0,0,0,0
UMWCLDQ2Y,267,100.0,1567442783.0,100.0,,,,,0,0,0,0,0,0,0
UH2JU983C,268,100.0,1567442740.0,100.0,,,,,0,0,0,0,0,0,0
UH0AVA4RH,269,100.0,1567442431.0,100.0,,,,,0,0,0,0,0,0,0
UG1RW42FM,270,100.0,1567442346.0,100.0,,,,,0,0,0,0,0,0,0
UH2D0B287,271,100.0,1567442331.0,100.0,,,,,0,0,0,0,0,0,0
UM5AJNN1W,272,100.0,1567442202.0,100.0,,,,,0,0,0,0,0,0,0
UHBUSED6E,273,100.0,1567442187.0,100.0,,,,,0,0,0,0,0,0,0
UJNFM6NDC,274,100.0,1567442018.0,100.0,,,,,0,0,0,0,0,0,0
UG1TQQ4VA,275,100.0,1567441955.0,100.0,,,,,0,0,0,0,0,0,0
UH2DJKUTZ,276,100.0,1567441823.0,100.0,,,,,0,0,0,0,0,0,0
UL2PGGHEK,277,100.0,1567441719.0,100.0,,,,,0,0,0,0,0,0,0
UH1HP2MJN,278,100.0,1567441589.0,100.0,,,,,0,0,0,0,0,0,0
UG2518YUU,279,100.0,1567441511.0,100.0,,,,,0,0,0,0,0,0,0
UG3Q3SPD1,280,100.0,1567441072.0,100.0,,,,,0,0,0,0,0,0,0
UJPPTU2AJ,281,100.0,1567440993.0,100.0,,,,,0,0,0,0,0,0,0
UHS76CTF0,282,100.0,1567440890.0,100.0,,,,,0,0,0,0,0,0,0
UH1A07477,283,100.0,1567440865.0,100.0,,,,,0,0,0,0,0,0,0
UH3JMN9FZ,284,100.0,1567440825.0,100.0,,,,,0,0,0,0,0,0,0
UG4RNB3D5,285,100.0,1567440785.0,100.0,,,,,0,0,0,0,0,0,0
UH2KKLQ6T,286,100.0,1567440705.0,100.0,,,,,0,0,0,0,0,0,0
UG4693BJB,287,100.0,1567440666.0,100.0,,,,,0,0,0,0,0,0,0
UG39SMVAR,288,100.0,1567440627.0,100.0,,,,,0,0,0,0,0,0,0
UDPBJ4DFW,289,100.0,1567440617.0,100.0,,,,,0,0,0,0,0,0,0
UCHBUBCJE,290,100.0,1567440612.0,100.0,,,,,0,0,0,0,0,0,0
UME9T8Y0Z,291,100.0,1567440225.0,100.0,,,,,0,0,0,0,0,0,0
UHV3LMPK8,292,100.0,1567440218.0,100.0,,,,,0,0,0,0,0,0,0
UG2B4FHG8,293,100.0,1567440083.0,100.0,,,,,0,0,0,0,0,0,0
UMJQK2HPT,294,100.0,1567439753.0,100.0,,,,,0,0,0,0,0,0,0
UH26HQG4F,295,100.0,1567439722.0,100.0,,,,,0,0,0,0,0,0,0
